textbox9,textbox2,Textbox34,,,,,,,
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.,,,,,,,
,,,,,,,,,
Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Burundi,17,Phoenix,10,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Burundi,92,Tolleson,0,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Burundi,17,Tolleson,3,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Burundi,92,Tucson,75,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Burundi,17,Tucson,4,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Cameroon,5,Phoenix,4,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Cameroon,1,Phoenix,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Cameroon,5,Tucson,1,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Cameroon,1,Tucson,1,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Central African Republic,42,Glendale,6,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Central African Republic,15,Glendale,3,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Central African Republic,42,Phoenix,36,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Central African Republic,15,Phoenix,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Central African Republic,42,Tucson,0,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Central African Republic,15,Tucson,12,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Chad,5,Tucson,5,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Chad,0,Tucson,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Colombia,5,Glendale,1,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Colombia,3,Glendale,3,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Colombia,5,Tucson,4,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Colombia,3,Tucson,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Congo,1,Tucson,1,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Congo,0,Tucson,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Cuba,6,Glendale,1,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Cuba,0,Glendale,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Cuba,6,Phoenix,2,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Cuba,0,Phoenix,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Cuba,6,Tucson,3,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Cuba,0,Tucson,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Dem. Rep. Congo,"1,608",Avondale,1,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Dem. Rep. Congo,275,Avondale,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Dem. Rep. Congo,"1,608",Glendale,398,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Dem. Rep. Congo,275,Glendale,30,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Dem. Rep. Congo,"1,608",Phoenix,679,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Dem. Rep. Congo,275,Phoenix,176,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Dem. Rep. Congo,"1,608",Tucson,530,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Dem. Rep. Congo,275,Tucson,69,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Eritrea,117,Glendale,18,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Eritrea,85,Glendale,20,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Eritrea,117,Phoenix,54,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Eritrea,85,Phoenix,44,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Eritrea,117,Tucson,45,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Eritrea,85,Tucson,21,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Ethiopia,67,Glendale,16,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Ethiopia,19,Glendale,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Ethiopia,67,Mesa,2,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Ethiopia,19,Mesa,0,"33,368"
